comment_text,original_line,field_count,clean_text,sentiment,confidence,topic,emotions,anger,disgust,fear,joy,neutral,sadness,surprise,anger_linguistic,disgust_linguistic,fear_linguistic,joy_linguistic,neutral_linguistic,sadness_linguistic,surprise_linguistic,anger_sentence_count,disgust_sentence_count,fear_sentence_count,joy_sentence_count,neutral_sentence_count,sadness_sentence_count,surprise_sentence_count,dominant_emotion
@applecutter5723,1160,7,applecutter,neutral,0.7583107352256775,-1,"{'anger': 0.005991984158754349, 'disgust': 0.0018113950500264764, 'fear': 0.0018167303642258048, 'joy': 0.05135338380932808, 'neutral': 0.7801631689071655, 'sadness': 0.0410420186817646, 'surprise': 0.11782129853963852}",0.005991984158754349,0.0018113950500264764,0.0018167303642258048,0.05135338380932808,0.7801631689071655,0.0410420186817646,0.11782129853963852,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
and students can verbally or physically assault a teacher without any consequences.,1190,2,students verbally physically assault teacher without consequences,negative,0.7594174146652222,-1,"{'anger': 0.8008302450180054, 'disgust': 0.17764052748680115, 'fear': 0.009828099049627781, 'joy': 0.0008338788175024092, 'neutral': 0.0033557452261447906, 'sadness': 0.00679687550291419, 'surprise': 0.0007145649287849665}",0.8008302450180054,0.17764052748680115,0.009828099049627781,0.0008338788175024092,0.0033557452261447906,0.00679687550291419,0.0007145649287849665,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,anger
"because there goal is to make sure as many teachers as possible don't get tenure. Administrators purposely give teachers 1 or 2 year contracts that they don't renew to avoid tenure so they have to go to another school and start the process all over again.,,XlnspY2wOVw",1192,2,goal make sure many teachers possible dont get tenure administrators purposely give teachers year contracts dont renew avoid tenure another school start process againxlnspywovw,negative,0.6667820811271667,-1,"{'anger': 0.024255039170384407, 'disgust': 0.0010220170952379704, 'fear': 0.006670721806585789, 'joy': 0.03018481843173504, 'neutral': 0.8524069786071777, 'sadness': 0.021734148263931274, 'surprise': 0.06372623890638351}",0.024255039170384407,0.0010220170952379704,0.006670721806585789,0.03018481843173504,0.8524069786071777,0.021734148263931274,0.06372623890638351,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@westmassdave7354,1195,7,westmassdave,neutral,0.8196589946746826,-1,"{'anger': 0.026402685791254044, 'disgust': 0.010243833996355534, 'fear': 0.0129152312874794, 'joy': 0.021365534514188766, 'neutral': 0.741204023361206, 'sadness': 0.09096195548772812, 'surprise': 0.09690676629543304}",0.026402685791254044,0.010243833996355534,0.0129152312874794,0.021365534514188766,0.741204023361206,0.09096195548772812,0.09690676629543304,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@KevinThorp-t5c,1198,7,kevinthorptc,neutral,0.9038578271865845,-1,"{'anger': 0.013720027171075344, 'disgust': 0.007401935290545225, 'fear': 0.010039418004453182, 'joy': 0.037124574184417725, 'neutral': 0.7765445113182068, 'sadness': 0.056925367563962936, 'surprise': 0.09824419021606445}",0.013720027171075344,0.007401935290545225,0.010039418004453182,0.037124574184417725,0.7765445113182068,0.056925367563962936,0.09824419021606445,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@TheManeverydayness,1201,7,themaneverydayness,neutral,0.7542391419410706,-1,"{'anger': 0.022515101358294487, 'disgust': 0.0025744372978806496, 'fear': 0.014604965224862099, 'joy': 0.18732689321041107, 'neutral': 0.37393632531166077, 'sadness': 0.23404163122177124, 'surprise': 0.16500060260295868}",0.022515101358294487,0.0025744372978806496,0.014604965224862099,0.18732689321041107,0.37393632531166077,0.23404163122177124,0.16500060260295868,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@westmassdave7354,1207,7,westmassdave,neutral,0.8196589946746826,-1,"{'anger': 0.026402685791254044, 'disgust': 0.010243833996355534, 'fear': 0.0129152312874794, 'joy': 0.021365534514188766, 'neutral': 0.741204023361206, 'sadness': 0.09096195548772812, 'surprise': 0.09690676629543304}",0.026402685791254044,0.010243833996355534,0.0129152312874794,0.021365534514188766,0.741204023361206,0.09096195548772812,0.09690676629543304,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@westmassdave7354,1208,7,westmassdave,neutral,0.8196589946746826,-1,"{'anger': 0.026402685791254044, 'disgust': 0.010243833996355534, 'fear': 0.0129152312874794, 'joy': 0.021365534514188766, 'neutral': 0.741204023361206, 'sadness': 0.09096195548772812, 'surprise': 0.09690676629543304}",0.026402685791254044,0.010243833996355534,0.0129152312874794,0.021365534514188766,0.741204023361206,0.09096195548772812,0.09690676629543304,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@EdwardMartin-t9m,1216,7,edwardmartintm,neutral,0.8890148401260376,-1,"{'anger': 0.007969613187015057, 'disgust': 0.004094970412552357, 'fear': 0.005033663474023342, 'joy': 0.038411300629377365, 'neutral': 0.7970046401023865, 'sadness': 0.044511061161756516, 'surprise': 0.1029748022556305}",0.007969613187015057,0.004094970412552357,0.005033663474023342,0.038411300629377365,0.7970046401023865,0.044511061161756516,0.1029748022556305,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
"but they teach them how to take a test.,,XlnspY2wOVw",1220,2,teach take testxlnspywovw,neutral,0.7437970638275146,-1,"{'anger': 0.003931812010705471, 'disgust': 0.001736711128614843, 'fear': 0.01004540640860796, 'joy': 0.013677036389708519, 'neutral': 0.934379518032074, 'sadness': 0.010065807960927486, 'surprise': 0.02616369165480137}",0.003931812010705471,0.001736711128614843,0.01004540640860796,0.013677036389708519,0.934379518032074,0.010065807960927486,0.02616369165480137,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@ToxicCatt-y7c,1227,7,toxiccattyc,neutral,0.678546667098999,-1,"{'anger': 0.09179578721523285, 'disgust': 0.04884301498532295, 'fear': 0.07096593081951141, 'joy': 0.021000083535909653, 'neutral': 0.6495818495750427, 'sadness': 0.08211082220077515, 'surprise': 0.035702452063560486}",0.09179578721523285,0.04884301498532295,0.07096593081951141,0.021000083535909653,0.6495818495750427,0.08211082220077515,0.035702452063560486,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@Trisha.Lawinger,1228,7,trishalawinger,neutral,0.8798760175704956,-1,"{'anger': 0.006405168678611517, 'disgust': 0.0035313949920237064, 'fear': 0.004350012168288231, 'joy': 0.049195293337106705, 'neutral': 0.766119658946991, 'sadness': 0.058430079370737076, 'surprise': 0.11196839064359665}",0.006405168678611517,0.0035313949920237064,0.004350012168288231,0.049195293337106705,0.766119658946991,0.058430079370737076,0.11196839064359665,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@Footprints1111,1230,7,footprints,neutral,0.8000768423080444,-1,"{'anger': 0.013303707353770733, 'disgust': 0.010908883064985275, 'fear': 0.008638451807200909, 'joy': 0.0053304447792470455, 'neutral': 0.9033399224281311, 'sadness': 0.017304128035902977, 'surprise': 0.041174523532390594}",0.013303707353770733,0.010908883064985275,0.008638451807200909,0.0053304447792470455,0.9033399224281311,0.017304128035902977,0.041174523532390594,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@anonymousstranger1679,1240,7,anonymousstranger,neutral,0.8674405217170715,-1,"{'anger': 0.010177995078265667, 'disgust': 0.004192701540887356, 'fear': 0.006012767553329468, 'joy': 0.04537215828895569, 'neutral': 0.790626585483551, 'sadness': 0.02818216383457184, 'surprise': 0.11543567478656769, 'surprise_linguistic': 1.0, 'surprise_sentence_count': 1}",0.010177995078265667,0.004192701540887356,0.006012767553329468,0.04537215828895569,0.790626585483551,0.02818216383457184,0.11543567478656769,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,neutral
